cancer_type,max_counts,min_counts
AML,962,1
Adrenal-neoplasm,2609,6
Biliary-AdenoCa,1197,10
Breast-cancer,7551,1
CNS-GBM,18216,2
Cervix-CA,19852,8
ColoRect-AdenoCa,16945,13
DLBC,15635,2
Eso-AdenoCa,2316,8
Eye-Melanoma,595,5
Head-SCC,3773,4
Kidney-ChRCC,1054,8
Kidney-Papillary,1257,13
Kidney-RCC,714,16
Liver-HCC,2016,3
Lung-AdenoCa,2752,2
Lung-SCC,2754,1
Lymph-BNHL,624,48
Mesothelium-Mesothelioma,401,3
Ovary-AdenoCa,2869,1
Panc-AdenoCa,21571,1
Pheochromocytoma,45,2
Prost-AdenoCa,9485,1
Sarcoma,2932,4
Skin-Melanoma,26472,7
Stomach-AdenoCa,9024,1
Testis-Ca,70,1
Thy-AdenoCa,707,2
Thymoma,809,3
Transitional-cell-carcinoma,5052,2
UCS,5123,35
Uterus-AdenoCa,39676,11
